State,2013 rate,Rank
North Dakota,2.9,1
Nebraska,3.8,2
South Dakota,3.8,2
Vermont,4.4,4
Utah,4.6,5
Iowa,4.7,6
Wyoming,4.7,6
Hawaii,4.9,8
Minnesota,5,9
New Hampshire,5.1,10
Kansas,5.3,11
Oklahoma,5.3,11
Montana,5.4,13
Virginia,5.7,14
Idaho,6.1,15
Texas,6.3,16
Maine,6.6,17
Maryland,6.6,17
Delaware,6.7,19
Louisiana,6.7,19
Massachusetts,6.7,19
Missouri,6.7,19
Wisconsin,6.7,19
West Virginia,6.8,24
Colorado,6.9,25
New Mexico,6.9,25
Alaska,7,27
Washington,7,27
Alabama,7.2,29
Arkansas,7.2,29
Florida,7.2,29
Pennsylvania,7.4,32
Ohio,7.5,33
South Carolina,7.6,34
Arizona,7.7,35
Indiana,7.7,35
New York,7.7,35
Connecticut,7.8,38
Tennessee,7.8,38
Oregon,7.9,40
Kentucky,8,41
North Carolina,8,41
Georgia,8.2,43
New Jersey,8.2,43
District of Columbia,8.5,45
Mississippi,8.5,45
Michigan,8.8,47
California,8.9,48
Illinois,9,49
Rhode Island,9.3,50
Nevada,9.6,51
